epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17030.7,1.30031,1.11263,2.18877,0.89831,0.83413,0.91106,0.58766,1.32871,1.00532,3.01624,0.0008647,0.0008647,0.0008647
43,17470,1.29281,1.08746,2.1998,0.87734,0.82057,0.90464,0.59186,1.28413,0.93282,2.90018,0.0008614,0.0008614,0.0008614
44,17905.3,1.28776,1.07551,2.20501,0.87503,0.78036,0.86724,0.55129,1.31438,0.98149,3.04977,0.0008581,0.0008581,0.0008581
45,18348,1.26525,1.04943,2.15203,0.85519,0.80213,0.88828,0.57609,1.34199,1.01825,2.91738,0.0008548,0.0008548,0.0008548
46,18718.5,1.2771,1.08581,2.21749,0.89113,0.8081,0.88842,0.5647,1.36699,0.99299,2.91538,0.0008515,0.0008515,0.0008515
47,19143.3,1.26506,1.04435,2.1222,0.8598,0.84987,0.90346,0.57854,1.37259,0.99086,3.05513,0.0008482,0.0008482,0.0008482
48,19571.9,1.29126,1.08266,2.25676,0.89977,0.82732,0.90455,0.59138,1.29798,0.90768,3.04143,0.0008449,0.0008449,0.0008449
49,20009.3,1.25897,1.04866,2.14264,0.84362,0.86402,0.90008,0.58187,1.33484,0.97059,3.01934,0.0008416,0.0008416,0.0008416
50,20376.7,1.27048,1.04305,2.18184,0.90084,0.83061,0.90453,0.58638,1.33599,0.95066,3.06125,0.0008383,0.0008383,0.0008383
51,20817,1.26343,1.04736,2.16205,0.89043,0.85332,0.90389,0.58168,1.29704,0.92888,2.92488,0.000835,0.000835,0.000835
52,21249,1.26105,1.04886,2.19922,0.89869,0.84974,0.91631,0.61579,1.27093,0.86584,3.1689,0.0008317,0.0008317,0.0008317
53,21633.2,1.2582,1.05065,2.1691,0.88168,0.80245,0.89274,0.57502,1.36503,0.96917,3.1274,0.0008284,0.0008284,0.0008284
54,22002.5,1.24797,1.00724,2.15669,0.86103,0.8508,0.89459,0.59438,1.3295,0.91515,2.91114,0.0008251,0.0008251,0.0008251
55,22373,1.25995,1.03972,2.16464,0.83095,0.85524,0.89621,0.57042,1.35873,0.98995,2.91637,0.0008218,0.0008218,0.0008218
56,22806.6,1.22999,1.00559,2.10984,0.88675,0.85606,0.90984,0.58044,1.33035,0.93526,2.87247,0.0008185,0.0008185,0.0008185
57,23243.6,1.25072,1.03917,2.19439,0.91063,0.82349,0.90939,0.59069,1.35174,0.95511,2.90402,0.0008152,0.0008152,0.0008152
58,23615.4,1.23723,1.01873,2.13651,0.83914,0.85311,0.8927,0.58579,1.37132,1.05254,2.91334,0.0008119,0.0008119,0.0008119
59,23989.1,1.23043,1.00842,2.15341,0.88874,0.85216,0.91225,0.61793,1.33281,0.94521,3.2726,0.0008086,0.0008086,0.0008086
60,24364.8,1.23372,0.99936,2.12603,0.8693,0.81935,0.88661,0.57906,1.29479,0.94484,2.96545,0.0008053,0.0008053,0.0008053
61,24804.7,1.22467,1.0208,2.14425,0.89506,0.83204,0.89034,0.57534,1.36316,1.02131,2.76431,0.000802,0.000802,0.000802
62,25293.9,1.24109,1.02291,2.13352,0.8451,0.86497,0.90207,0.5935,1.29233,1.01573,2.84104,0.0007987,0.0007987,0.0007987
63,25734.4,1.22145,0.99932,2.16252,0.86797,0.81494,0.90228,0.59965,1.30527,0.92184,3.02967,0.0007954,0.0007954,0.0007954
64,26171.2,1.22519,1.01858,2.16315,0.88918,0.84689,0.91033,0.61526,1.24877,0.89398,3.05474,0.0007921,0.0007921,0.0007921
65,26542.3,1.21234,0.96202,2.14414,0.90708,0.83947,0.9163,0.60849,1.31415,0.87044,3.03324,0.0007888,0.0007888,0.0007888
66,26973.5,1.22948,1.02526,2.16379,0.89215,0.85193,0.90651,0.59458,1.31119,0.95351,3.09463,0.0007855,0.0007855,0.0007855
67,27379.5,1.23375,1.03022,2.13574,0.8353,0.85664,0.89811,0.59353,1.33655,0.89779,2.98847,0.0007822,0.0007822,0.0007822
68,27727.7,1.21082,0.99812,2.10334,0.90901,0.84368,0.90816,0.61006,1.27917,0.88122,3.08162,0.0007789,0.0007789,0.0007789
69,28082.1,1.19617,0.97162,2.09572,0.86637,0.85733,0.9083,0.6117,1.24262,0.84388,3.25682,0.0007756,0.0007756,0.0007756
70,28484.2,1.2192,0.98901,2.14273,0.88309,0.85991,0.89799,0.59554,1.33743,0.91306,3.1593,0.0007723,0.0007723,0.0007723
71,28888.2,1.199,0.95972,2.11481,0.89037,0.8295,0.89877,0.60192,1.28883,0.92935,3.00788,0.000769,0.000769,0.000769
72,29242.4,1.18252,0.9291,2.08825,0.87777,0.8518,0.89438,0.59916,1.31853,0.96951,3.05562,0.0007657,0.0007657,0.0007657
73,29595.6,1.19358,0.96755,2.11948,0.88744,0.84264,0.89631,0.60484,1.31154,0.92609,2.91673,0.0007624,0.0007624,0.0007624
74,29949.3,1.19927,0.96786,2.09803,0.86035,0.83009,0.89755,0.59635,1.30136,0.97018,3.04153,0.0007591,0.0007591,0.0007591
75,30302.7,1.17858,0.93442,2.08007,0.87859,0.84381,0.91009,0.60879,1.25633,0.87451,3.14953,0.0007558,0.0007558,0.0007558
76,30655.8,1.20199,0.96085,2.09694,0.85199,0.87211,0.90633,0.60635,1.33389,0.90663,2.97554,0.0007525,0.0007525,0.0007525
77,31051.8,1.18442,0.95011,2.08042,0.8356,0.88332,0.89817,0.60497,1.3081,0.91949,3.27353,0.0007492,0.0007492,0.0007492
78,31402.4,1.15391,0.93163,2.05595,0.87419,0.8358,0.90095,0.604,1.28016,0.93353,3.1912,0.0007459,0.0007459,0.0007459
79,31759,1.17516,0.96491,2.11011,0.84905,0.86921,0.90139,0.61295,1.30731,0.90771,3.14139,0.0007426,0.0007426,0.0007426
